86,67,50,11
46,44,35,82
32,53,32,80
85,94,82,58
53,2,61,25
44,37,49,60
97,79,34,75
10,63,25,53
41,74,26,12
93,43,67,12
63,19,44,38
18,29,46,46
94,37,47,13
44,85,62,31
79,31,1,77
6,49,56,23
19,15,18,52
35,98,18,58
2,87,49,30
48,46,22,85
1,14,35,16
61,99,62,14
16,18,28,34
32,97,61,65
81,18,76,88
4,71,73,98
82,49,53,98
36,32,3,91
100,84,2,48
22,53,53,53
44,41,97,88
22,58,17,71
2,31,34,41
95,24,50,95
43,53,19,21
49,29,17,67
85,25,46,6
42,65,67,19
16,8,13,33
63,98,51,69
15,6,67,80
95,52,40,34
14,65,73,83
24,41,16,58
60,21,15,45
39,9,91,26
99,42,73,98
74,92,21,26
97,80,52,68
61,83,99,64
